track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date
Formula,Labrinth,1,3444,7,554875730,24,85,102,0,57,23,66,4,6,15,4,2019-10-04
Freaks,Surf Curse,1,3006,3,824420218,23,21,121,0,35,41,94,0,63,5,5,2015-05-10
Freaky Deaky,"Tyga, Doja Cat",2,1729,0,153240879,26,1,19,0,80,24,65,2,0,9,4,2022-02-25
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,12043,0,863756573,209,54,710,0,82,80,86,1,0,30,13,2021-01-15
Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,672,34,188933502,19,108,24,9,61,39,73,37,0,11,3,2023-04-07
Fuera del mercado,Danny Ocean,1,2499,21,421365166,68,24,43,1,45,27,67,32,0,13,14,2022-02-17
GAT��,"Maldy, Karol G",2,3328,13,322336177,39,50,57,3,63,34,86,26,0,21,39,2022-08-25
GIVENCHY,Duki,1,625,4,185236961,13,18,12,0,61,38,62,14,0,23,40,2022-07-20
Gangsta's Paradise,"Coolio, L.V.",2,10624,17,1357608774,21,0,386,0,63,40,61,9,0,56,6,1995-07-11
Gasolina,Daddy Yankee,1,6457,18,657723613,98,95,453,0,86,74,80,33,0,8,6,2004-07-13
Gasoline,The Weeknd,1,2297,0,116903579,11,29,14,0,74,35,73,0,0,21,5,2022-01-07
Gatita,Bellakath,1,1054,0,168684524,9,0,15,0,90,76,81,15,24,33,6,2022-10-03
Gato de Noche,"Nengo Flow, Bad Bunny",2,2651,30,304118600,21,55,32,3,89,61,66,17,0,36,16,2022-12-22
Get Into It (Yuh),Doja Cat,1,4999,0,516784627,43,19,73,12,91,79,66,32,0,9,16,2021-06-25
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,52898,0,933815613,203,1,,0,79,87,81,4,0,10,4,2013-01-01
Ghost,Justin Bieber,1,5866,24,1167330737,107,38,95,0,61,41,74,21,0,40,6,2021-03-19
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,1634,0,110073250,16,20,4,0,62,59,43,84,3,11,5,2022-12-09
Ginseng Strip 2002,Yung Lean,1,4310,0,240769997,13,0,113,1,60,37,71,8,0,48,4,2013-08-16
Glimpse of Us,Joji,1,6330,6,988515741,109,42,158,3,44,27,32,89,0,14,5,2022-06-10
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,293,8,11956641,5,2,30,2,93,68,65,42,0,12,25,2023-06-01
Golden,Harry Styles,1,8429,1,807015863,85,24,200,0,45,25,84,21,0,13,6,2019-12-13
Gone Girl,SZA,1,892,0,65362788,3,17,2,0,43,42,44,57,0,15,6,2022-12-09
Good Days,SZA,1,10426,2,826623384,133,109,182,1,46,53,78,23,0,72,6,2020-12-24
Good Looking,Suki Waterhouse,1,2264,0,184706613,11,6,25,0,37,27,56,8,0,13,3,2017-10-20
Gospel (with Eminem),"Eminem, Dr. Dre",2,1040,0,64787943,8,0,29,0,92,62,86,11,0,24,24,2022-02-04
Grapejuice,Harry Styles,1,1986,0,199587884,7,1,15,0,65,88,72,36,14,20,3,2022-05-20
HAPPY,NF,1,660,0,52722996,22,7,11,0,73,22,86,31,0,12,4,2023-03-25
HEARTBREAK ANNIVERSARY,Giveon,1,5398,4,951637566,111,127,210,0,61,59,46,56,0,13,5,2020-02-21
HUMBLE.,Kendrick Lamar,1,33206,1,1929770265,284,114,,0,91,42,60,0,0,9,12,2017-03-30
Haegeum,Agust D,1,244,12,118810253,6,84,10,2,70,83,84,31,0,47,30,2023-04-21
Happier Than Ever,Billie Eilish,1,8476,0,1056760045,138,133,283,0,31,31,24,76,0,14,4,2021-07-30
Happier Than Ever - Edit,Billie Eilish,1,1959,0,412795151,19,0,38,0,45,12,57,7,0,23,3,2021-07-28
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,10829,0,460492795,130,1,390,0,33,39,61,32,0,77,3,1971-12-01
Hati-Hati di Jalan,Tulus,1,200,2,202677468,12,4,0,0,64,76,44,70,9,12,4,2022-03-03
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,15890,14,1145727611,71,37,653,0,74,76,70,7,0,13,3,1968-07-01
Heart To Heart,Mac DeMarco,1,1640,0,244658767,27,27,29,1,90,64,14,67,35,11,10,2019-05-10
Heartless,Kanye West,1,17504,34,887906111,63,39,,0,79,66,65,5,0,25,14,2008-01-01
Heat Waves,Glass Animals,1,22543,63,,386,144,707,28,76,53,53,44,0,9,9,2020-06-28
Heather,Conan Gray,1,6170,7,1301799902,82,1,231,0,47,25,43,62,0,32,3,2020-03-20
Heaven,Niall Horan,1,1553,2,144584800,61,6,48,0,57,68,76,7,0,33,3,2023-02-17
"Here We Go��� Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,1420,0,88103848,7,18,7,0,41,27,64,36,0,60,3,2022-01-07
Here With Me,d4vd,1,3246,23,635412045,94,85,68,1,58,27,48,50,0,12,3,2022-07-17
Hey Mor,"Ozuna, Feid",2,4637,38,674072710,63,79,89,11,90,40,59,0,0,10,29,2022-10-06
"Hey, Mickey!",Baby Tate,1,482,0,122763672,9,1,12,4,92,73,51,55,0,15,6,2016-09-27
Hits Different,Taylor Swift,1,547,0,68616963,15,15,6,0,67,24,78,15,0,30,4,2023-05-26
Hold Me Closer,"Elton John, Britney Spears",2,4967,0,284216603,165,10,177,4,67,49,77,11,0,19,11,2017-11-10
Hold My Hand,Lady Gaga,1,2528,0,238350348,63,8,270,2,51,21,63,5,0,41,3,2022-05-03
Holly Jolly Christmas,Michael Bubl�,1,7655,0,476244795,5,0,291,0,65,70,47,87,0,9,4,2011-10-14
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,1351,0,106919680,26,1,17,0,82,82,66,13,0,11,6,2022-04-29
Hope,XXXTENTACION,1,3659,0,1200808494,11,10,267,0,59,23,46,66,0,15,6,2018-03-16
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,1601,0,85924992,11,0,2,0,88,52,69,0,0,8,23,2022-07-01
House Of Memories,Panic! At The Disco,1,2948,0,582863434,10,2,150,0,51,48,82,0,0,5,3,2016-01-15
How Do I Make You Love Me?,The Weeknd,1,1915,0,119238316,7,47,15,0,80,62,51,2,0,9,8,2022-01-07
How Do I Say Goodbye,Dean Lewis,1,2163,15,284785823,72,97,58,0,40,39,64,21,0,7,7,2022-08-05
Hrs and Hrs,Muni Long,1,1800,0,181328253,43,36,46,13,51,66,53,60,0,11,18,2021-11-19
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,277,1,39666245,1,20,5,0,59,26,60,46,1,25,13,2023-06-02
Hype Boy,NewJeans,1,892,17,363472647,20,119,12,2,59,78,94,27,0,29,23,2022-08-01
I AM,IVE,1,366,15,123132751,16,102,7,0,68,38,88,1,0,8,5,2023-04-10
I AM WOMAN,Emmy Meli,1,2795,0,225259194,45,0,107,0,65,46,47,12,0,13,16,2021-11-18
I Ain't Worried,OneRepublic,1,8431,76,1085685420,241,127,458,37,71,82,81,11,0,6,5,2022-05-13
I Can See You (Taylor���s Version) (From The,Taylor Swift,1,516,38,52135248,73,119,42,1,69,82,76,6,0,6,3,2023-07-07
I Hate U,SZA,1,4094,0,356709897,66,96,43,0,54,41,39,51,0,11,16,2021-12-03
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,1178,0,91656026,9,10,9,0,75,85,84,10,0,31,19,2022-01-07
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,407,0,77377503,16,15,5,0,67,11,76,8,47,30,7,2023-03-24
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,5281,14,609293408,94,21,80,15,74,43,69,12,0,12,7,2022-06-03
I Love You So,The Walters,1,7536,7,972164968,44,19,135,0,58,46,67,65,0,13,4,2014-11-28
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,668,1,140430339,0,0,31,0,49,13,74,0,0,9,4,2020-12-18
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,1657,0,121077868,15,3,3,0,71,37,52,62,0,11,36,2022-05-06
I WANNA BE YOUR SLAVE,M��ne,1,4873,0,851070493,65,88,434,3,75,96,61,0,0,18,4,2021-03-19
I Wanna Be Yours,Arctic Monkeys,1,12859,110,1297026226,24,98,582,2,48,44,42,12,2,11,3,2013-01-01
I Was Never There,"The Weeknd, Gesaffelstein",2,4188,15,705469769,30,70,142,0,32,17,74,14,0,17,3,2018-03-29
I Wrote The Book,Morgan Wallen,1,430,0,83021468,15,17,0,0,68,83,81,9,0,8,4,2023-01-31
I'm Good (Blue),"Bebe Rexha, David Guetta",2,12482,80,1109433169,291,184,537,45,56,38,97,4,0,35,4,2022-08-26
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,1890,0,103787664,86,1,49,0,70,84,90,17,0,41,6,2023-01-27
I'm Not The Only One,Sam Smith,1,17492,3,1606986953,136,24,,0,68,50,49,56,0,8,4,2014-01-01
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,625,0,197643795,10,2,13,0,78,83,75,41,0,27,8,2022-03-18
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,13315,0,1814349763,300,47,690,0,74,89,70,2,0,5,6,2021-07-23
If We Ever Broke Up,Mae Stephens,1,2040,4,165584767,81,27,66,9,90,96,73,62,0,9,4,2023-02-10
Igualito a Mi Ap�,"Fuerza Regida, Peso Pluma",2,265,6,158950978,8,84,5,1,76,80,81,19,0,6,9,2022-12-30
In Da Club,50 Cent,1,30427,7,1202722675,235,106,,1,90,79,71,26,0,7,37,2002-01-01
In My Head,Lil Tjay,1,1185,0,190981339,21,0,31,0,68,41,55,16,0,10,12,2022-04-01
In The End,Linkin Park,1,25065,6,1624165576,63,0,,2,55,40,90,1,0,32,6,2000-10-24
In The Stars,Benson Boone,1,2224,8,382199619,48,40,87,1,36,30,54,34,0,14,5,2022-04-29
Infinity,Jaymes Young,1,4375,0,888046992,24,0,396,0,67,50,67,15,0,30,4,2017-06-23
Iris,The Goo Goo Dolls,1,13101,9,1284942608,137,5,582,0,32,49,72,0,0,9,4,1998-03-31
Is There Someone Else?,The Weeknd,1,2881,6,391251368,13,89,34,0,70,60,58,4,0,16,3,2022-01-07
It'll Be Okay,Shawn Mendes,1,1950,0,287201015,56,8,104,0,40,7,29,62,0,9,3,2021-12-01
It's Beginning To Look A Lot Like Christmas,Michael Bubl�,1,12353,0,807561936,35,0,549,0,35,38,23,91,0,29,3,2011-10-14
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,6290,0,295998468,89,39,158,0,73,72,32,77,0,15,5,1958-01-01
It's the Most Wonderful Time of the Year,Andy Williams,1,8879,0,663832097,182,107,160,0,24,76,60,77,0,12,4,1963-10-14
JGL,"Luis R Conriquez, La Adictiva",2,782,9,323455692,15,33,6,1,70,97,59,55,0,27,12,2022-02-18
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,138,4,1365184,13,78,2,0,82,62,74,10,0,33,7,2022-12-22
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,5871,27,618885532,81,121,58,1,54,40,67,0,0,9,17,2022-06-17
Jingle Bell Rock,Bobby Helms,1,10326,0,741301563,165,99,104,0,74,78,37,84,0,6,3,1957-01-01
Jingle Bells - Remastered 1999,Frank Sinatra,1,4326,0,178660459,32,3,65,0,51,94,34,73,0,10,5,1957-01-01
Jordan,Ryan Castro,1,2844,2,394030335,29,2,35,1,80,71,68,6,0,10,37,2021-04-30
Just The Way You Are,Bruno Mars,1,21106,13,1641426668,82,0,,0,63,46,85,1,0,9,5,2010-01-01
Just Wanna Rock,Lil Uzi Vert,1,3995,13,457184829,72,27,47,0,49,4,55,7,0,6,3,2022-10-17
KICK BACK,Kenshi Yonezu,1,574,4,210038833,38,101,26,0,58,29,94,0,0,9,11,2022-10-12
KU LO SA - A COLORS SHOW,Oxlade,1,2019,8,222410722,117,72,107,1,65,79,66,31,0,22,7,2022-06-10
